product_name,platform,price,url
Apple iPhone 15 Smartphone,amazon,79900,https://www.amazon.in/dp/B0CHX1D3G9
Apple iPhone 15 Pro Smartphone,amazon,134900,https://www.amazon.in/dp/B0CHX3CWL9
Samsung Galaxy S24 Smartphone,amazon,74999,https://www.amazon.in/dp/B0CS5ZLZQF
OnePlus 12 Smartphone,amazon,64999,https://www.amazon.in/dp/B0CQ8L8M2T
Google Pixel 8 Smartphone,amazon,75999,https://www.amazon.in/dp/B0CHXMTC6H
Redmi Note 13 Pro Smartphone,amazon,26999,https://www.amazon.in/dp/B0CS5R6W24
Realme 12 Pro Smartphone,amazon,27999,https://www.amazon.in/dp/B0CS4VHY4W
iQOO Neo 9 Smartphone,amazon,34999,https://www.amazon.in/dp/B0CS4X43Q2
Apple MacBook Air M2 Laptop,amazon,114900,https://www.amazon.in/dp/B0B3C52T5Y
Dell XPS 13 Laptop,amazon,132990,https://www.amazon.in/dp/B0B8Q4Z6V5
HP Pavilion 15 Laptop,amazon,67990,https://www.amazon.in/dp/B0C7H9G6Q3
Lenovo IdeaPad Slim 5 Laptop,amazon,57990,https://www.amazon.in/dp/B0C9S7V5QF
ASUS VivoBook 15 Laptop,amazon,45990,https://www.amazon.in/dp/B0C6J4TT8X
Acer Aspire 5 Laptop,amazon,43990,https://www.amazon.in/dp/B0C6LX3W8V
Sony WH-1000XM5 Wireless Headphone,amazon,26990,https://www.amazon.in/dp/B0B2FFG6KZ
Apple AirPods Pro 2nd Gen Earphone,amazon,24900,https://www.amazon.in/dp/B0BDK62PDX
Bose QuietComfort 45 Headphone,amazon,29900,https://www.amazon.in/dp/B098FKXT8L
Nothing Ear 2 Earphone,amazon,8999,https://www.amazon.in/dp/B0BZCS6Z3K
Boat Rockerz 550 Wireless Headphone,amazon,1799,https://www.amazon.in/dp/B08HMWZBXC
Samsung 55 Inch 4K QLED TV,amazon,89990,https://www.amazon.in/dp/B0C5W79S8H
LG 43 Inch 4K UHD TV,amazon,42990,https://www.amazon.in/dp/B0BRTZ9K9H
Sony Bravia 50 Inch TV,amazon,62990,https://www.amazon.in/dp/B0BRTZ8Z3C
Apple iPad Air M1 Tablet,amazon,59900,https://www.amazon.in/dp/B0932QJ2JZ
Samsung Galaxy Tab S9 Tablet,amazon,72999,https://www.amazon.in/dp/B0CC6G5G5C
Canon EOS R50 Camera,amazon,64990,https://www.amazon.in/dp/B0BVQG3Q2B
Sony Alpha ZV-E10 Camera,amazon,59990,https://www.amazon.in/dp/B09GFRV8WB
Apple Watch Series 9 Smartwatch,amazon,41900,https://www.amazon.in/dp/B0CHX4Z8F5
Samsung Galaxy Watch 6 Smartwatch,amazon,26999,https://www.amazon.in/dp/B0CDJ7N9S7
Sony PS5 Gaming Console,amazon,54990,https://www.amazon.in/dp/B08FV5GC28
Microsoft Xbox Series X Gaming Console,amazon,52990,https://www.amazon.in/dp/B08J7QX1N1
Nintendo Switch OLED Gaming Console,amazon,35990,https://www.amazon.in/dp/B098RL6G7G
